clock_tick,train_id,station_id,segment_id,stops_seen_so_far,passenger_count
5,102,,32.0,"[1, 2, 3]",0
5,201,,32.0,[3],0
5,103,,21.0,"[1, 2, 3, 2]",0
5,104,,21.0,"[1, 2, 3, 2]",0
5,202,,21.0,"[3, 2]",0
5,203,,21.0,"[3, 2]",0
5,301,,21.0,"[4, 2]",0
6,204,,12.0,"[3, 2, 1]",0
6,302,,12.0,"[4, 2, 1]",0
6,303,,12.0,"[4, 2, 1]",0
6,101,,32.0,"[1, 2, 3]",0
6,102,,32.0,"[1, 2, 3]",0
6,201,,32.0,[3],0
6,103,,21.0,"[1, 2, 3, 2]",0
6,104,,21.0,"[1, 2, 3, 2]",0
6,202,,21.0,"[3, 2]",0
6,203,,21.0,"[3, 2]",0
6,301,,21.0,"[4, 2]",0
7,204,,12.0,"[3, 2, 1]",0
7,302,,12.0,"[4, 2, 1]",0
7,303,,12.0,"[4, 2, 1]",0
7,101,,32.0,"[1, 2, 3]",0
7,102,,32.0,"[1, 2, 3]",0
7,201,,32.0,[3],0
7,103,,21.0,"[1, 2, 3, 2]",0
7,104,,21.0,"[1, 2, 3, 2]",0
7,202,,21.0,"[3, 2]",0
7,203,,21.0,"[3, 2]",0
7,301,,21.0,"[4, 2]",0
8,204,,12.0,"[3, 2, 1]",0
8,302,,12.0,"[4, 2, 1]",0
8,303,,12.0,"[4, 2, 1]",0
8,101,,32.0,"[1, 2, 3]",0
8,102,,32.0,"[1, 2, 3]",0
8,201,,32.0,[3],0
8,103,,21.0,"[1, 2, 3, 2]",0
8,104,,21.0,"[1, 2, 3, 2]",0
8,202,,21.0,"[3, 2]",0
8,203,,21.0,"[3, 2]",0
8,301,,21.0,"[4, 2]",0
9,204,,12.0,"[3, 2, 1]",0
9,302,,12.0,"[4, 2, 1]",0
9,303,,12.0,"[4, 2, 1]",0
9,101,,32.0,"[1, 2, 3]",0
9,102,,32.0,"[1, 2, 3]",0
9,201,,32.0,[3],0
9,103,,21.0,"[1, 2, 3, 2]",0
9,104,,21.0,"[1, 2, 3, 2]",0
9,202,,21.0,"[3, 2]",0
9,203,,21.0,"[3, 2]",0
9,301,,21.0,"[4, 2]",0
10,204,,12.0,"[3, 2, 1]",0
10,302,,12.0,"[4, 2, 1]",0
10,303,,12.0,"[4, 2, 1]",0
10,101,,32.0,"[1, 2, 3]",0
10,102,,32.0,"[1, 2, 3]",0
10,201,,32.0,[3],0
10,103,,21.0,"[1, 2, 3, 2]",0
10,104,,21.0,"[1, 2, 3, 2]",0
10,202,,21.0,"[3, 2]",0
10,203,,21.0,"[3, 2]",0
10,301,,21.0,"[4, 2]",0
11,204,,12.0,"[3, 2, 1]",0
11,302,,12.0,"[4, 2, 1]",0
11,303,,12.0,"[4, 2, 1]",0
11,101,,32.0,"[1, 2, 3]",0
11,102,,32.0,"[1, 2, 3]",0
11,201,,32.0,[3],0
11,103,,21.0,"[1, 2, 3, 2]",0
11,104,,21.0,"[1, 2, 3, 2]",0
11,202,,21.0,"[3, 2]",0
11,203,,21.0,"[3, 2]",0
11,301,,21.0,"[4, 2]",0
12,204,,12.0,"[3, 2, 1]",0
12,302,,12.0,"[4, 2, 1]",0
12,303,,12.0,"[4, 2, 1]",0
12,101,,32.0,"[1, 2, 3]",0
12,102,,32.0,"[1, 2, 3]",0
12,201,,32.0,[3],0
12,103,,21.0,"[1, 2, 3, 2]",0
12,104,,21.0,"[1, 2, 3, 2]",0
12,202,,21.0,"[3, 2]",0
12,203,,21.0,"[3, 2]",0
12,301,,21.0,"[4, 2]",0
13,204,,12.0,"[3, 2, 1]",0
13,302,,12.0,"[4, 2, 1]",0
13,303,,12.0,"[4, 2, 1]",0
13,101,,32.0,"[1, 2, 3]",0
13,102,,32.0,"[1, 2, 3]",0
13,201,,32.0,[3],0
13,103,,21.0,"[1, 2, 3, 2]",0
13,104,,21.0,"[1, 2, 3, 2]",0
13,202,,21.0,"[3, 2]",0
13,203,,21.0,"[3, 2]",0
13,301,,21.0,"[4, 2]",0
14,204,,12.0,"[3, 2, 1]",0
14,302,,12.0,"[4, 2, 1]",0
14,303,,12.0,"[4, 2, 1]",0
14,101,,32.0,"[1, 2, 3]",0
14,102,,32.0,"[1, 2, 3]",0
14,201,,32.0,[3],0
14,103,,21.0,"[1, 2, 3, 2]",0
14,104,,21.0,"[1, 2, 3, 2]",0
14,202,,21.0,"[3, 2]",0
14,203,,21.0,"[3, 2]",0
14,301,,21.0,"[4, 2]",0
15,103,1.0,,"[1, 2, 3, 2, 1]",0
15,204,,12.0,"[3, 2, 1]",0
15,302,,12.0,"[4, 2, 1]",0
15,303,,12.0,"[4, 2, 1]",0
15,101,,32.0,"[1, 2, 3]",0
15,102,,32.0,"[1, 2, 3]",0
15,201,,32.0,[3],0
15,104,,21.0,"[1, 2, 3, 2]",0
15,202,,21.0,"[3, 2]",0
15,203,,21.0,"[3, 2]",0
15,301,,21.0,"[4, 2]",0
16,103,1.0,,[1],0
16,204,,12.0,"[3, 2, 1]",0
16,302,,12.0,"[4, 2, 1]",0
16,303,,12.0,"[4, 2, 1]",0
16,101,,32.0,"[1, 2, 3]",0
16,102,,32.0,"[1, 2, 3]",0
16,201,,32.0,[3],0
16,104,,21.0,"[1, 2, 3, 2]",0
16,202,,21.0,"[3, 2]",0
16,203,,21.0,"[3, 2]",0
16,301,,21.0,"[4, 2]",0
17,204,,12.0,"[3, 2, 1]",0
17,302,,12.0,"[4, 2, 1]",0
17,303,,12.0,"[4, 2, 1]",0
17,103,,12.0,[1],4
17,101,,32.0,"[1, 2, 3]",0
17,102,,32.0,"[1, 2, 3]",0
17,201,,32.0,[3],0
17,104,,21.0,"[1, 2, 3, 2]",0
17,202,,21.0,"[3, 2]",0
17,203,,21.0,"[3, 2]",0
17,301,,21.0,"[4, 2]",0
18,104,1.0,,"[1, 2, 3, 2, 1]",0
18,202,1.0,,"[3, 2, 1]",0
18,204,,12.0,"[3, 2, 1]",0
18,302,,12.0,"[4, 2, 1]",0
18,303,,12.0,"[4, 2, 1]",0
18,103,,12.0,[1],4
18,101,,32.0,"[1, 2, 3]",0
18,102,,32.0,"[1, 2, 3]",0
18,201,,32.0,[3],0
18,203,,21.0,"[3, 2]",0
18,301,,21.0,"[4, 2]",0
19,104,1.0,,[1],0
19,202,1.0,,"[3, 2, 1]",0
19,204,,12.0,"[3, 2, 1]",0
19,302,,12.0,"[4, 2, 1]",0
19,303,,12.0,"[4, 2, 1]",0
19,103,,12.0,[1],4
19,101,,32.0,"[1, 2, 3]",0
19,102,,32.0,"[1, 2, 3]",0
19,201,,32.0,[3],0
19,203,,21.0,"[3, 2]",0
19,301,,21.0,"[4, 2]",0
20,204,,12.0,"[3, 2, 1]",0
20,302,,12.0,"[4, 2, 1]",0
20,303,,12.0,"[4, 2, 1]",0
20,103,,12.0,[1],4
20,104,,12.0,[1],1
20,202,,12.0,"[3, 2, 1]",0
20,101,,32.0,"[1, 2, 3]",0
20,102,,32.0,"[1, 2, 3]",0
20,201,,32.0,[3],0
20,203,,21.0,"[3, 2]",0
20,301,,21.0,"[4, 2]",0
21,203,1.0,,"[3, 2, 1]",0
21,204,,12.0,"[3, 2, 1]",0
21,302,,12.0,"[4, 2, 1]",0
21,303,,12.0,"[4, 2, 1]",0
21,103,,12.0,[1],4
21,104,,12.0,[1],1
21,202,,12.0,"[3, 2, 1]",0
21,101,,32.0,"[1, 2, 3]",0
21,102,,32.0,"[1, 2, 3]",0
21,201,,32.0,[3],0
21,301,,21.0,"[4, 2]",0
22,203,1.0,,"[3, 2, 1]",0
22,204,,12.0,"[3, 2, 1]",0
22,302,,12.0,"[4, 2, 1]",0
22,303,,12.0,"[4, 2, 1]",0
22,103,,12.0,[1],4
22,104,,12.0,[1],1
22,202,,12.0,"[3, 2, 1]",0
22,101,,32.0,"[1, 2, 3]",0
22,102,,32.0,"[1, 2, 3]",0
22,201,,32.0,[3],0
22,301,,21.0,"[4, 2]",0
23,204,,12.0,"[3, 2, 1]",0
23,302,,12.0,"[4, 2, 1]",0
23,303,,12.0,"[4, 2, 1]",0
23,103,,12.0,[1],4
23,104,,12.0,[1],1
23,202,,12.0,"[3, 2, 1]",0
23,203,,12.0,"[3, 2, 1]",1
23,101,,32.0,"[1, 2, 3]",0
23,102,,32.0,"[1, 2, 3]",0
23,201,,32.0,[3],0
23,301,,21.0,"[4, 2]",0
24,204,,12.0,"[3, 2, 1]",0
24,302,,12.0,"[4, 2, 1]",0
24,303,,12.0,"[4, 2, 1]",0
24,103,,12.0,[1],4
24,104,,12.0,[1],1
24,202,,12.0,"[3, 2, 1]",0
24,203,,12.0,"[3, 2, 1]",1
24,101,,32.0,"[1, 2, 3]",0
24,102,,32.0,"[1, 2, 3]",0
24,201,,32.0,[3],0
24,301,,21.0,"[4, 2]",0
25,301,1.0,,"[4, 2, 1]",0
25,204,,12.0,"[3, 2, 1]",0
25,302,,12.0,"[4, 2, 1]",0
25,303,,12.0,"[4, 2, 1]",0
25,103,,12.0,[1],4
25,104,,12.0,[1],1
25,202,,12.0,"[3, 2, 1]",0
25,203,,12.0,"[3, 2, 1]",1
25,101,,32.0,"[1, 2, 3]",0
25,102,,32.0,"[1, 2, 3]",0
25,201,,32.0,[3],0
26,301,1.0,,"[4, 2, 1]",0
26,204,,12.0,"[3, 2, 1]",0
26,302,,12.0,"[4, 2, 1]",0
26,303,,12.0,"[4, 2, 1]",0
26,103,,12.0,[1],4
26,104,,12.0,[1],1
26,202,,12.0,"[3, 2, 1]",0
26,203,,12.0,"[3, 2, 1]",1
26,101,,32.0,"[1, 2, 3]",0
26,102,,32.0,"[1, 2, 3]",0
26,201,,32.0,[3],0
27,204,,12.0,"[3, 2, 1]",0
27,302,,12.0,"[4, 2, 1]",0
27,303,,12.0,"[4, 2, 1]",0
27,103,,12.0,[1],4
27,104,,12.0,[1],1
27,202,,12.0,"[3, 2, 1]",0
27,203,,12.0,"[3, 2, 1]",1
27,301,,12.0,"[4, 2, 1]",1
27,101,,32.0,"[1, 2, 3]",0
27,102,,32.0,"[1, 2, 3]",0
27,201,,32.0,[3],0
28,204,,12.0,"[3, 2, 1]",0
28,302,,12.0,"[4, 2, 1]",0
28,303,,12.0,"[4, 2, 1]",0
28,103,,12.0,[1],4
28,104,,12.0,[1],1
28,202,,12.0,"[3, 2, 1]",0
28,203,,12.0,"[3, 2, 1]",1
28,301,,12.0,"[4, 2, 1]",1
28,101,,32.0,"[1, 2, 3]",0
28,102,,32.0,"[1, 2, 3]",0
28,201,,32.0,[3],0
29,204,,12.0,"[3, 2, 1]",0
29,302,,12.0,"[4, 2, 1]",0
29,303,,12.0,"[4, 2, 1]",0
29,103,,12.0,[1],4
29,104,,12.0,[1],1
29,202,,12.0,"[3, 2, 1]",0
29,203,,12.0,"[3, 2, 1]",1
29,301,,12.0,"[4, 2, 1]",1
29,101,,32.0,"[1, 2, 3]",0
29,102,,32.0,"[1, 2, 3]",0
29,201,,32.0,[3],0
30,204,,12.0,"[3, 2, 1]",0
30,302,,12.0,"[4, 2, 1]",0
30,303,,12.0,"[4, 2, 1]",0
30,103,,12.0,[1],4
30,104,,12.0,[1],1
30,202,,12.0,"[3, 2, 1]",0
30,203,,12.0,"[3, 2, 1]",1
30,301,,12.0,"[4, 2, 1]",1
30,101,,32.0,"[1, 2, 3]",0
30,102,,32.0,"[1, 2, 3]",0
30,201,,32.0,[3],0
31,204,,12.0,"[3, 2, 1]",0
31,302,,12.0,"[4, 2, 1]",0
31,303,,12.0,"[4, 2, 1]",0
31,103,,12.0,[1],4
31,104,,12.0,[1],1
31,202,,12.0,"[3, 2, 1]",0
31,203,,12.0,"[3, 2, 1]",1
31,301,,12.0,"[4, 2, 1]",1
31,101,,32.0,"[1, 2, 3]",0
31,102,,32.0,"[1, 2, 3]",0
31,201,,32.0,[3],0
41,103,,12.0,[1],4
41,104,,12.0,[1],1
41,202,,12.0,"[3, 2, 1]",0
41,203,,12.0,"[3, 2, 1]",1
41,301,,12.0,"[4, 2, 1]",1
41,101,,21.0,"[1, 2, 3, 2]",0
41,102,,21.0,"[1, 2, 3, 2]",0
41,201,,21.0,"[3, 2]",0
41,204,,23.0,"[3, 2, 1, 2]",0
41,302,,24.0,"[4, 2, 1, 2]",0
41,303,,24.0,"[4, 2, 1, 2]",0
47,103,,12.0,[1],4
47,104,,12.0,[1],1
47,202,,12.0,"[3, 2, 1]",0
47,203,,12.0,"[3, 2, 1]",1
47,301,,12.0,"[4, 2, 1]",1
47,302,,42.0,[4],0
47,303,,42.0,[4],0
47,101,,21.0,"[1, 2, 3, 2]",0
47,102,,21.0,"[1, 2, 3, 2]",0
47,201,,21.0,"[3, 2]",0
47,204,,23.0,"[3, 2, 1, 2]",0
48,302,2.0,,"[4, 2]",0
48,103,,12.0,[1],4
48,104,,12.0,[1],1
48,202,,12.0,"[3, 2, 1]",0
48,203,,12.0,"[3, 2, 1]",1
48,301,,12.0,"[4, 2, 1]",1
48,303,,42.0,[4],0
48,101,,21.0,"[1, 2, 3, 2]",0
48,102,,21.0,"[1, 2, 3, 2]",0
48,201,,21.0,"[3, 2]",0
48,204,,23.0,"[3, 2, 1, 2]",0
49,302,2.0,,"[4, 2]",0
32,204,,12.0,"[3, 2, 1]",0
32,302,,12.0,"[4, 2, 1]",0
32,303,,12.0,"[4, 2, 1]",0
32,103,,12.0,[1],4
32,104,,12.0,[1],1
32,202,,12.0,"[3, 2, 1]",0
32,203,,12.0,"[3, 2, 1]",1
32,301,,12.0,"[4, 2, 1]",1
32,101,,32.0,"[1, 2, 3]",0
32,102,,32.0,"[1, 2, 3]",0
32,201,,32.0,[3],0
33,204,,12.0,"[3, 2, 1]",0
33,302,,12.0,"[4, 2, 1]",0
33,303,,12.0,"[4, 2, 1]",0
33,103,,12.0,[1],4
33,104,,12.0,[1],1
33,202,,12.0,"[3, 2, 1]",0
33,203,,12.0,"[3, 2, 1]",1
33,301,,12.0,"[4, 2, 1]",1
33,101,,32.0,"[1, 2, 3]",0
33,102,,32.0,"[1, 2, 3]",0
33,201,,32.0,[3],0
34,204,,12.0,"[3, 2, 1]",0
34,302,,12.0,"[4, 2, 1]",0
34,303,,12.0,"[4, 2, 1]",0
34,103,,12.0,[1],4
34,104,,12.0,[1],1
34,202,,12.0,"[3, 2, 1]",0
34,203,,12.0,"[3, 2, 1]",1
34,301,,12.0,"[4, 2, 1]",1
34,101,,32.0,"[1, 2, 3]",0
34,102,,32.0,"[1, 2, 3]",0
34,201,,32.0,[3],0
35,204,,12.0,"[3, 2, 1]",0
35,302,,12.0,"[4, 2, 1]",0
35,303,,12.0,"[4, 2, 1]",0
35,103,,12.0,[1],4
35,104,,12.0,[1],1
35,202,,12.0,"[3, 2, 1]",0
35,203,,12.0,"[3, 2, 1]",1
35,301,,12.0,"[4, 2, 1]",1
35,101,,32.0,"[1, 2, 3]",0
35,102,,32.0,"[1, 2, 3]",0
35,201,,32.0,[3],0
36,101,2.0,,"[1, 2, 3, 2]",0
36,204,2.0,,"[3, 2, 1, 2]",0
36,302,2.0,,"[4, 2, 1, 2]",0
36,303,,12.0,"[4, 2, 1]",0
36,103,,12.0,[1],4
36,104,,12.0,[1],1
36,202,,12.0,"[3, 2, 1]",0
36,203,,12.0,"[3, 2, 1]",1
36,301,,12.0,"[4, 2, 1]",1
36,102,,32.0,"[1, 2, 3]",0
36,201,,32.0,[3],0
37,101,2.0,,"[1, 2, 3, 2]",0
37,204,2.0,,"[3, 2, 1, 2]",0
37,302,2.0,,"[4, 2, 1, 2]",0
37,303,,12.0,"[4, 2, 1]",0
37,103,,12.0,[1],4
37,104,,12.0,[1],1
37,202,,12.0,"[3, 2, 1]",0
37,203,,12.0,"[3, 2, 1]",1
37,301,,12.0,"[4, 2, 1]",1
37,102,,32.0,"[1, 2, 3]",0
37,201,,32.0,[3],0
38,303,,12.0,"[4, 2, 1]",0
38,103,,12.0,[1],4
38,104,,12.0,[1],1
38,202,,12.0,"[3, 2, 1]",0
38,203,,12.0,"[3, 2, 1]",1
38,301,,12.0,"[4, 2, 1]",1
38,102,,32.0,"[1, 2, 3]",0
38,201,,32.0,[3],0
38,101,,21.0,"[1, 2, 3, 2]",0
38,204,,23.0,"[3, 2, 1, 2]",0
38,302,,24.0,"[4, 2, 1, 2]",0
39,102,2.0,,"[1, 2, 3, 2]",0
39,201,2.0,,"[3, 2]",0
39,303,2.0,,"[4, 2, 1, 2]",0
39,103,,12.0,[1],4
39,104,,12.0,[1],1
39,202,,12.0,"[3, 2, 1]",0
39,203,,12.0,"[3, 2, 1]",1
39,301,,12.0,"[4, 2, 1]",1
39,101,,21.0,"[1, 2, 3, 2]",0
39,204,,23.0,"[3, 2, 1, 2]",0
39,302,,24.0,"[4, 2, 1, 2]",0
40,102,2.0,,"[1, 2, 3, 2]",0
40,201,2.0,,"[3, 2]",0
40,303,2.0,,"[4, 2, 1, 2]",0
40,103,,12.0,[1],4
40,104,,12.0,[1],1
40,202,,12.0,"[3, 2, 1]",0
40,203,,12.0,"[3, 2, 1]",1
40,301,,12.0,"[4, 2, 1]",1
40,101,,21.0,"[1, 2, 3, 2]",0
40,204,,23.0,"[3, 2, 1, 2]",0
40,302,,24.0,"[4, 2, 1, 2]",0
42,302,4.0,,"[4, 2, 1, 2, 4]",0
42,103,,12.0,[1],4
42,104,,12.0,[1],1
42,202,,12.0,"[3, 2, 1]",0
42,203,,12.0,"[3, 2, 1]",1
42,301,,12.0,"[4, 2, 1]",1
42,101,,21.0,"[1, 2, 3, 2]",0
42,102,,21.0,"[1, 2, 3, 2]",0
42,201,,21.0,"[3, 2]",0
42,204,,23.0,"[3, 2, 1, 2]",0
42,303,,24.0,"[4, 2, 1, 2]",0
43,302,4.0,,[4],0
43,103,,12.0,[1],4
43,104,,12.0,[1],1
43,202,,12.0,"[3, 2, 1]",0
43,203,,12.0,"[3, 2, 1]",1
43,301,,12.0,"[4, 2, 1]",1
43,101,,21.0,"[1, 2, 3, 2]",0
43,102,,21.0,"[1, 2, 3, 2]",0
43,201,,21.0,"[3, 2]",0
43,204,,23.0,"[3, 2, 1, 2]",0
43,303,,24.0,"[4, 2, 1, 2]",0
44,103,,12.0,[1],4
44,104,,12.0,[1],1
44,202,,12.0,"[3, 2, 1]",0
44,203,,12.0,"[3, 2, 1]",1
44,301,,12.0,"[4, 2, 1]",1
44,302,,42.0,[4],0
44,101,,21.0,"[1, 2, 3, 2]",0
44,102,,21.0,"[1, 2, 3, 2]",0
44,201,,21.0,"[3, 2]",0
44,204,,23.0,"[3, 2, 1, 2]",0
44,303,,24.0,"[4, 2, 1, 2]",0
45,303,4.0,,"[4, 2, 1, 2, 4]",0
45,103,,12.0,[1],4
45,104,,12.0,[1],1
45,202,,12.0,"[3, 2, 1]",0
45,203,,12.0,"[3, 2, 1]",1
45,301,,12.0,"[4, 2, 1]",1
45,302,,42.0,[4],0
45,101,,21.0,"[1, 2, 3, 2]",0
45,102,,21.0,"[1, 2, 3, 2]",0
45,201,,21.0,"[3, 2]",0
45,204,,23.0,"[3, 2, 1, 2]",0
46,303,4.0,,[4],0
46,103,,12.0,[1],4
46,104,,12.0,[1],1
46,202,,12.0,"[3, 2, 1]",0
46,203,,12.0,"[3, 2, 1]",1
46,301,,12.0,"[4, 2, 1]",1
46,302,,42.0,[4],0
46,101,,21.0,"[1, 2, 3, 2]",0
46,102,,21.0,"[1, 2, 3, 2]",0
46,201,,21.0,"[3, 2]",0
46,204,,23.0,"[3, 2, 1, 2]",0
54,103,2.0,,"[1, 2]",4
54,104,,12.0,[1],1
54,202,,12.0,"[3, 2, 1]",0
54,203,,12.0,"[3, 2, 1]",1
54,301,,12.0,"[4, 2, 1]",1
54,101,,21.0,"[1, 2, 3, 2]",0
54,102,,21.0,"[1, 2, 3, 2]",0
54,201,,21.0,"[3, 2]",0
54,302,,21.0,"[4, 2]",0
54,303,,21.0,"[4, 2]",0
54,204,,23.0,"[3, 2, 1, 2]",0
56,104,2.0,,"[1, 2]",1
56,202,2.0,,"[3, 2, 1, 2]",0
56,203,,12.0,"[3, 2, 1]",1
56,301,,12.0,"[4, 2, 1]",1
56,101,,21.0,"[1, 2, 3, 2]",0
56,102,,21.0,"[1, 2, 3, 2]",0
56,201,,21.0,"[3, 2]",0
56,302,,21.0,"[4, 2]",0
56,303,,21.0,"[4, 2]",0
56,204,,23.0,"[3, 2, 1, 2]",0
56,103,,23.0,"[1, 2]",4
57,104,2.0,,"[1, 2]",1
57,202,2.0,,"[3, 2, 1, 2]",0
57,203,,12.0,"[3, 2, 1]",1
57,301,,12.0,"[4, 2, 1]",1
57,101,,21.0,"[1, 2, 3, 2]",0
49,103,,12.0,[1],4
49,104,,12.0,[1],1
49,202,,12.0,"[3, 2, 1]",0
49,203,,12.0,"[3, 2, 1]",1
49,301,,12.0,"[4, 2, 1]",1
49,303,,42.0,[4],0
49,101,,21.0,"[1, 2, 3, 2]",0
49,102,,21.0,"[1, 2, 3, 2]",0
49,201,,21.0,"[3, 2]",0
49,204,,23.0,"[3, 2, 1, 2]",0
50,103,,12.0,[1],4
50,104,,12.0,[1],1
50,202,,12.0,"[3, 2, 1]",0
50,203,,12.0,"[3, 2, 1]",1
50,301,,12.0,"[4, 2, 1]",1
50,303,,42.0,[4],0
50,101,,21.0,"[1, 2, 3, 2]",0
50,102,,21.0,"[1, 2, 3, 2]",0
50,201,,21.0,"[3, 2]",0
50,302,,21.0,"[4, 2]",0
50,204,,23.0,"[3, 2, 1, 2]",0
51,303,2.0,,"[4, 2]",0
51,103,,12.0,[1],4
51,104,,12.0,[1],1
51,202,,12.0,"[3, 2, 1]",0
51,203,,12.0,"[3, 2, 1]",1
51,301,,12.0,"[4, 2, 1]",1
51,101,,21.0,"[1, 2, 3, 2]",0
51,102,,21.0,"[1, 2, 3, 2]",0
51,201,,21.0,"[3, 2]",0
51,302,,21.0,"[4, 2]",0
51,204,,23.0,"[3, 2, 1, 2]",0
52,303,2.0,,"[4, 2]",0
52,103,,12.0,[1],4
52,104,,12.0,[1],1
52,202,,12.0,"[3, 2, 1]",0
52,203,,12.0,"[3, 2, 1]",1
52,301,,12.0,"[4, 2, 1]",1
52,101,,21.0,"[1, 2, 3, 2]",0
52,102,,21.0,"[1, 2, 3, 2]",0
52,201,,21.0,"[3, 2]",0
52,302,,21.0,"[4, 2]",0
52,204,,23.0,"[3, 2, 1, 2]",0
53,103,2.0,,"[1, 2]",4
53,104,,12.0,[1],1
53,202,,12.0,"[3, 2, 1]",0
53,203,,12.0,"[3, 2, 1]",1
53,301,,12.0,"[4, 2, 1]",1
53,101,,21.0,"[1, 2, 3, 2]",0
53,102,,21.0,"[1, 2, 3, 2]",0
53,201,,21.0,"[3, 2]",0
53,302,,21.0,"[4, 2]",0
53,303,,21.0,"[4, 2]",0
53,204,,23.0,"[3, 2, 1, 2]",0
55,104,,12.0,[1],1
55,202,,12.0,"[3, 2, 1]",0
55,203,,12.0,"[3, 2, 1]",1
55,301,,12.0,"[4, 2, 1]",1
55,101,,21.0,"[1, 2, 3, 2]",0
55,102,,21.0,"[1, 2, 3, 2]",0
55,201,,21.0,"[3, 2]",0
55,302,,21.0,"[4, 2]",0
55,303,,21.0,"[4, 2]",0
55,204,,23.0,"[3, 2, 1, 2]",0
55,103,,23.0,"[1, 2]",4
67,101,,21.0,"[1, 2, 3, 2]",0
67,102,,21.0,"[1, 2, 3, 2]",0
67,201,,21.0,"[3, 2]",0
67,302,,21.0,"[4, 2]",0
67,303,,21.0,"[4, 2]",0
67,204,,23.0,"[3, 2, 1, 2]",0
67,103,,23.0,"[1, 2]",4
67,104,,23.0,"[1, 2]",1
67,202,,23.0,"[3, 2, 1, 2]",0
67,203,,23.0,"[3, 2, 1, 2]",1
67,301,,24.0,"[4, 2, 1, 2]",0
68,101,,21.0,"[1, 2, 3, 2]",0
68,102,,21.0,"[1, 2, 3, 2]",0
68,201,,21.0,"[3, 2]",0
68,302,,21.0,"[4, 2]",0
68,303,,21.0,"[4, 2]",0
68,204,,23.0,"[3, 2, 1, 2]",0
68,103,,23.0,"[1, 2]",4
68,104,,23.0,"[1, 2]",1
68,202,,23.0,"[3, 2, 1, 2]",0
68,203,,23.0,"[3, 2, 1, 2]",1
68,301,,24.0,"[4, 2, 1, 2]",0
77,302,,21.0,"[4, 2]",0
77,303,,21.0,"[4, 2]",0
77,301,,21.0,"[4, 2]",0
77,204,,23.0,"[3, 2, 1, 2]",0
77,103,,23.0,"[1, 2]",4
57,102,,21.0,"[1, 2, 3, 2]",0
57,201,,21.0,"[3, 2]",0
57,302,,21.0,"[4, 2]",0
57,303,,21.0,"[4, 2]",0
57,204,,23.0,"[3, 2, 1, 2]",0
57,103,,23.0,"[1, 2]",4
58,203,,12.0,"[3, 2, 1]",1
58,301,,12.0,"[4, 2, 1]",1
58,101,,21.0,"[1, 2, 3, 2]",0
58,102,,21.0,"[1, 2, 3, 2]",0
58,201,,21.0,"[3, 2]",0
58,302,,21.0,"[4, 2]",0
58,303,,21.0,"[4, 2]",0
58,204,,23.0,"[3, 2, 1, 2]",0
58,103,,23.0,"[1, 2]",4
58,104,,23.0,"[1, 2]",1
58,202,,23.0,"[3, 2, 1, 2]",0
59,203,2.0,,"[3, 2, 1, 2]",1
59,301,,12.0,"[4, 2, 1]",1
59,101,,21.0,"[1, 2, 3, 2]",0
59,102,,21.0,"[1, 2, 3, 2]",0
59,201,,21.0,"[3, 2]",0
59,302,,21.0,"[4, 2]",0
59,303,,21.0,"[4, 2]",0
59,204,,23.0,"[3, 2, 1, 2]",0
59,103,,23.0,"[1, 2]",4
59,104,,23.0,"[1, 2]",1
59,202,,23.0,"[3, 2, 1, 2]",0
